iter	RMSE
0	580.8521816
1	567.1663028
2	554.4592825
3	542.3244441
4	530.8446956
5	520.7773665
6	509.9757508
7	499.8425089
8	491.4722401
9	483.4265945
10	475.9803363
11	468.7303645
12	460.7665142
13	453.7062845
14	447.0566424
15	440.94571
16	435.0640211
17	429.0825948
18	422.8611028
19	417.7770578
20	412.4977691
21	408.2059202
22	403.9482774
23	399.3294199
24	395.6719204
25	391.6305795
26	387.0464783
27	383.649929
28	379.2483638
29	375.3056031
30	371.4995273
31	368.5424247
32	365.7326609
33	362.9737981
34	359.8540678
35	357.0490695
36	354.1224285
37	351.105301
38	348.6758918
39	346.224866
40	343.5714625
41	341.2824058
42	339.4242083
43	337.2532256
44	334.7548092
45	332.7499046
46	331.2860313
47	329.2310608
48	327.4736677
49	325.3174551
50	323.7367342
51	321.7888341
52	320.4716546
53	318.8023711
54	316.9789715
55	315.9098114
56	314.5478091
57	313.1795585
58	312.0633024
59	311.032821
60	309.5464546
61	308.3203145
62	307.1422523
63	306.0779586
64	305.3644845
65	304.1793908
66	302.8723175
67	302.0360499
68	300.7315909
69	299.7143211
70	298.7361412
71	297.566159
72	296.3393079
73	295.8605241
74	294.8289554
75	294.058615
76	293.1418018
77	292.1948908
78	291.3660739
79	290.7124285
80	290.0096574
81	289.3070592
82	288.5258686
83	287.6923405
84	287.1150519
85	286.5450569
86	285.7305367
87	285.1111281
88	284.1994436
89	283.3834783
90	282.606782
91	281.897879
92	281.077909
93	280.5093428
94	279.7950861
95	279.2899852
96	278.6644548
97	278.1011333
98	277.4685603
99	276.9809464
100	276.3080604
101	275.876721
102	275.359266
103	274.7418249
104	274.1967242
105	273.4663544
106	272.8449173
107	272.3313657
108	271.9651457
109	271.401769
110	270.8167015
111	270.2185819
112	269.5803277
113	269.0957289
114	268.629561
115	267.9851035
116	267.5467997
117	267.2515652
118	266.8852177
119	266.6346329
120	266.1366565
121	265.6577017
122	264.9616273
123	264.5434611
124	264.001875
125	263.4522948
126	262.6935889
127	262.4021614
128	261.9937875
129	261.5320417
130	261.0381001
131	260.866571
132	260.3620259
133	260.0092079
134	259.4285982
135	258.9187479
136	258.5204017
137	257.958081
138	257.3538208
139	256.7625404
140	256.3797477
141	256.0367099
142	255.4625621
143	255.1656216
144	254.7929244
145	254.1779325
146	253.713724
147	253.2839216
148	252.9073534
149	252.4878237
150	252.0576233
151	251.6316176
152	251.2465403
153	250.9647571
154	250.6906805
155	250.3645181
156	249.9575818
157	249.5759964
158	249.122055
159	248.3954109
160	248.1882193
161	247.620969
162	247.1810918
163	246.7804176
164	246.4291741
165	246.1269301
166	245.7459162
167	245.3963837
168	245.1997455
169	244.8538243
170	244.5093803
171	244.1307237
172	243.7874702
173	243.3773825
174	243.049396
175	242.5975194
176	242.2950903
177	241.8659647
178	241.4853398
179	241.2514945
180	240.6018963
181	240.324761
182	239.8662573
183	239.4098278
184	239.1324261
185	238.9823836
186	238.7009917
187	238.3653643
188	238.1027434
189	237.7700052
190	237.4223159
191	237.1958757
192	236.7186775
193	236.205855
194	235.8619117
195	235.4547375
196	235.0847321
197	234.7119676
198	234.5174032
199	234.1731772
200	233.9767359
201	233.6234476
202	233.495547
203	233.1882979
204	232.9346343
205	232.5533189
206	232.0013101
207	231.7436067
208	231.5039229
209	231.1028719
210	230.7764496
211	230.4539572
212	230.0655409
213	229.6318703
214	229.4776687
215	229.2673166
216	229.0509494
217	228.6501557
218	228.4066245
219	228.1107805
220	227.9849695
221	227.5554187
222	227.4245555
223	227.2038049
224	226.8159888
225	226.5366
226	226.2045893
227	226.0725308
228	225.6114962
229	225.3994183
230	225.0359501
231	224.8357126
232	224.5553797
233	224.3797403
234	223.9118398
235	223.7877546
236	223.4170839
237	223.1383575
238	222.8511393
239	222.4654904
240	222.3437705
241	222.1585906
242	222.056792
243	221.8616239
244	221.5436817
245	221.2683169
246	220.9591421
247	220.8287252
248	220.6674565
249	220.3592593
250	220.1640082
251	219.9931231
252	219.8231579
253	219.3918741
254	219.2592655
255	218.8452722
256	218.7472243
257	218.4307043
258	217.9844831
259	217.6335794
260	217.5238449
261	217.32939
262	217.2347077
263	217.0623096
264	216.7491655
265	216.5254219
266	216.350465
267	216.0496987
268	215.6138952
269	215.4450054
270	215.168683
271	214.8555856
272	214.7044206
273	214.4230408
274	214.1447405
275	214.0520384
276	213.8054797
277	213.6671236
278	213.410145
279	213.1097337
280	213.018703
281	212.6774684
282	212.4472493
283	212.0958556
284	211.9245217
285	211.7739825
286	211.6844453
287	211.4291577
288	211.1897296
289	210.8893111
290	210.7195777
291	210.4507974
292	210.1309832
293	209.8904854
294	209.802594
295	209.7165637
296	209.5776027
297	209.4931871
298	209.2597319
299	209.1071612
300	208.8783169
301	208.7952056
302	208.6005233
303	208.3436077
304	208.2036215
305	208.1221727
306	208.042118
307	207.6552749
308	207.4907947
309	207.3554938
310	207.2768633
311	206.9471963
312	206.8028132
313	206.581557
314	206.4414627
315	206.3176192
316	206.0054254
317	205.9279827
318	205.8020511
319	205.6767558
320	205.602026
321	205.4849232
322	205.2270912
323	204.981323
324	204.9069469
325	204.6213226
326	204.3098504
327	204.1902347
328	203.9893748
329	203.8092198
330	203.7362747
331	203.5879008
332	203.346359
333	203.2298333
334	202.9693742
335	202.783958
336	202.6570125
337	202.4285964
338	202.2274427
339	202.156466
340	201.7047545
341	201.5858341
342	201.2645639
343	201.0637803
344	200.8427077
345	200.572126
346	200.457373
347	200.3389742
348	200.0983702
349	199.9884846
350	199.9185501
351	199.5264085
352	199.3891663
353	199.1415064
354	198.8771011
355	198.6880343
356	198.5789954
357	198.3677811
358	198.2646472
359	198.1963344
360	198.1290941
361	198.0632874
362	197.895933
363	197.7849503
364	197.5661861
365	197.4244301
366	197.19804
367	197.0835699
368	196.9827186
369	196.7734505
370	196.537808
371	196.4320294
372	196.2766892
373	196.086084
374	195.9844179
375	195.7827144
376	195.7168395
377	195.340371
378	195.1650084
379	195.0445961
380	194.5516479
381	194.4504416
382	194.1711635
383	194.0308451
384	193.9411996
385	193.8146097
386	193.7163308
387	193.6562037
388	193.4218468
389	193.1647382
390	193.1017178
391	192.9590305
392	192.8390823
393	192.6252105
394	192.4553897
395	192.3928474
396	192.2949831
397	192.233608
398	192.0097065
399	191.8274928
400	191.5972371
401	191.505987
402	191.4450781
403	191.2638382
404	191.1654978
405	190.9425034
406	190.7087988
407	190.5640308
408	190.4482891
409	190.3066817
410	190.1592632
411	189.9447063
412	189.8534125
413	189.621955
414	189.3940297
415	189.2292225
416	189.0635587
417	188.8920552
418	188.7039628
419	188.4388563
420	188.3018854
421	188.2417694
422	188.1330675
423	188.0303476
424	187.8822524
425	187.7921055
426	187.7013428
427	187.5967012
428	187.466515
429	187.4077972
430	187.2779227
431	187.2197274
432	187.0903834
433	186.9890266
434	186.7105258
435	186.6516772
436	186.5207716
