iter	Passed	Remaining
0	3	3675
1	7	3630
2	10	3578
3	14	3552
4	17	3554
5	21	3524
6	24	3481
7	27	3460
8	31	3448
9	34	3464
10	38	3457
11	41	3455
12	45	3436
13	48	3423
14	52	3426
15	55	3411
16	58	3388
17	61	3375
18	64	3355
19	68	3347
20	71	3329
21	74	3318
22	77	3301
23	80	3288
24	84	3282
25	87	3275
26	90	3275
27	94	3271
28	97	3262
29	100	3252
30	103	3245
31	106	3236
32	110	3234
33	113	3229
34	117	3231
35	120	3224
36	124	3228
37	127	3226
38	131	3232
39	134	3229
40	138	3229
41	141	3235
42	145	3246
43	149	3242
44	152	3237
45	156	3244
46	159	3239
47	163	3240
48	166	3237
49	170	3239
50	173	3236
51	177	3235
52	181	3234
53	184	3238
54	188	3243
55	192	3246
56	196	3249
57	200	3252
58	204	3264
59	208	3266
60	212	3270
61	216	3279
62	220	3279
63	224	3283
64	228	3286
65	232	3288
66	236	3288
67	240	3289
68	243	3287
69	247	3285
70	251	3285
71	254	3283
72	258	3284
73	262	3284
74	266	3287
75	270	3284
76	274	3286
77	277	3284
78	281	3284
79	285	3281
80	288	3278
81	292	3274
82	295	3269
83	299	3264
84	302	3258
85	306	3254
86	309	3248
87	312	3243
88	316	3236
89	319	3231
90	322	3224
91	326	3219
92	329	3213
93	333	3209
94	336	3203
95	339	3198
96	342	3192
97	346	3185
98	349	3182
99	353	3179
100	356	3176
101	360	3173
102	364	3175
103	368	3174
104	372	3172
105	375	3166
106	378	3161
107	382	3157
108	385	3149
109	388	3143
110	391	3136
111	394	3129
112	397	3123
113	401	3117
114	404	3110
115	407	3105
116	410	3098
117	413	3092
118	416	3085
119	419	3079
120	423	3074
121	426	3069
122	430	3065
123	433	3060
124	436	3056
125	439	3051
126	443	3048
127	446	3044
128	450	3041
129	453	3036
130	457	3032
131	460	3028
132	463	3023
133	467	3018
134	470	3014
135	474	3011
136	477	3007
137	481	3005
138	484	3003
139	488	3000
140	491	2997
141	495	2993
142	501	3002
143	504	2997
144	507	2991
145	510	2986
146	513	2981
147	517	2977
148	520	2972
149	523	2966
150	526	2961
151	530	2957
152	533	2951
153	536	2946
154	539	2940
155	542	2935
156	545	2930
157	548	2925
158	552	2920
159	555	2916
160	558	2912
161	562	2907
162	565	2902
163	568	2897
164	571	2893
165	575	2889
166	578	2885
167	581	2879
168	584	2875
169	587	2870
170	591	2865
171	594	2860
172	597	2856
173	600	2852
174	604	2847
175	607	2843
176	610	2839
177	613	2834
178	617	2830
179	620	2827
180	624	2824
181	627	2819
182	630	2814
183	633	2810
184	636	2805
185	640	2801
186	643	2796
187	646	2791
188	649	2787
189	652	2783
190	656	2778
191	659	2774
192	662	2769
193	665	2765
194	668	2760
195	671	2756
196	675	2752
197	678	2748
198	681	2743
199	684	2739
200	688	2735
201	692	2737
202	696	2733
203	699	2729
204	702	2725
205	706	2722
206	709	2718
207	713	2714
208	716	2710
209	719	2706
210	722	2702
211	725	2698
212	729	2694
213	732	2690
214	735	2686
215	738	2681
216	742	2677
217	745	2673
218	748	2669
219	752	2666
220	755	2663
221	759	2660
222	762	2656
223	766	2654
224	770	2652
225	773	2649
226	777	2646
227	780	2643
228	784	2640
229	787	2636
230	791	2634
231	795	2634
232	799	2632
233	803	2630
234	807	2628
235	811	2627
236	815	2625
237	819	2623
238	822	2620
239	826	2617
240	830	2615
241	834	2612
242	837	2609
243	841	2607
244	845	2604
245	848	2601
246	852	2599
247	856	2596
248	859	2593
249	863	2590
250	867	2587
251	870	2585
252	874	2581
253	878	2578
254	881	2575
255	884	2571
256	888	2568
257	892	2566
258	896	2563
259	899	2561
260	903	2557
261	906	2554
262	910	2550
263	913	2547
264	916	2543
265	920	2539
266	923	2534
267	926	2530
268	929	2526
269	932	2522
270	936	2518
271	939	2514
272	942	2510
273	946	2506
274	949	2502
275	952	2499
276	956	2497
277	959	2493
278	963	2489
279	966	2485
280	970	2482
281	973	2479
282	977	2476
283	980	2473
284	984	2469
285	988	2467
286	991	2464
287	995	2460
288	998	2456
289	1001	2452
290	1005	2448
291	1008	2444
292	1011	2440
293	1014	2436
294	1017	2432
295	1020	2428
296	1024	2423
297	1027	2419
298	1030	2415
299	1033	2410
300	1036	2406
301	1039	2402
302	1042	2398
303	1046	2394
304	1049	2391
305	1052	2386
306	1055	2383
307	1058	2378
308	1062	2375
309	1065	2370
310	1068	2366
311	1071	2362
312	1074	2358
313	1078	2355
314	1081	2352
315	1085	2349
316	1088	2345
317	1091	2341
318	1095	2338
319	1098	2335
320	1102	2331
321	1105	2327
322	1108	2324
323	1112	2320
324	1115	2317
325	1119	2313
326	1122	2311
327	1126	2308
328	1130	2305
329	1134	2302
330	1138	2300
331	1141	2297
332	1145	2294
333	1149	2291
334	1152	2288
335	1156	2285
336	1160	2282
337	1164	2279
338	1167	2277
339	1171	2274
340	1176	2272
341	1180	2270
342	1184	2269
343	1189	2268
344	1195	2269
345	1199	2268
346	1204	2266
347	1209	2265
348	1213	2264
349	1218	2262
350	1223	2261
351	1227	2260
352	1232	2258
353	1236	2256
354	1241	2256
355	1246	2254
356	1250	2252
357	1255	2251
358	1260	2249
359	1264	2247
360	1269	2246
361	1273	2245
362	1278	2243
363	1283	2241
364	1287	2240
365	1291	2237
366	1296	2236
367	1300	2233
368	1304	2231
369	1309	2229
370	1313	2227
371	1317	2224
372	1322	2222
373	1326	2220
374	1331	2219
375	1336	2217
376	1341	2216
377	1345	2213
378	1349	2210
379	1353	2208
380	1368	2222
381	1372	2220
382	1376	2218
383	1380	2215
384	1385	2212
385	1389	2209
386	1397	2213
387	1402	2212
388	1411	2217
